name,POI,geometry
health care pharmacy,Pharmacies,POINT (8267925.361283071 3693924.7135864226)
mahmood pharmacy,Pharmacies,POINT (8276161.200226023 3698998.006420197)
servaid pharmacy,Pharmacies,POINT (8271395.078491609 3692459.3483895166)
csh pharmacy,Pharmacies,POINT (8279827.941801314 3700707.4938584235)
healthcare pharmacy,Pharmacies,POINT (8270178.768339353 3700221.3986766655)
csh pharmacy,Pharmacies,POINT (8272961.777873083 3707099.990792655)
ush pharmacy,Pharmacies,POINT (8264323.663686252 3693816.4244704563)
amin pharmacy,Pharmacies,POINT (8275341.120669299 3700029.0631707995)
pakistan pharmacy services,Pharmacies,POINT (8269547.3419236755 3691260.0255092843)
medi 2b rite pharmacy,Pharmacies,POINT (8269514.035132031 3690513.77372242)
warda pharmacy,Pharmacies,POINT (8268924.431449044 3687600.420788717)
dr pharma plus pharmacy,Pharmacies,POINT (8269512.677034242 3691488.8516048463)
convenience plus pharmacy,Pharmacies,POINT (8267526.247512731 3689618.895329177)
adwiyaat 2b pharmacy,Pharmacies,POINT (8268191.13656734 3690054.4530862835)
talal pharmacy,Pharmacies,POINT (8278675.072626863 3692333.2721043355)
apple pharmacy,Pharmacies,POINT (8269048.597209074 3689984.2967476756)
health care pharmacy,Pharmacies,POINT (8267114.910862301 3688964.080924085)
pharmacy,Pharmacies,POINT (8282090.710826771 3690327.8800692526)
moon pharmacy,Pharmacies,POINT (8281815.907531799 3690399.538886827)
city pharmacy,Pharmacies,POINT (8283192.306243763 3690698.5350074735)
care pharmacy,Pharmacies,POINT (8278462.296552161 3691988.4840529244)
servaid state life society,Pharmacies,POINT (8282088.751603733 3690497.2940908805)
evergreen pharma plus,Pharmacies,POINT (8281856.917632208 3691201.566974705)
y plus pharmacy,Pharmacies,POINT (8278348.628220113 3691959.6966937156)
bilal medix pharmacy,Pharmacies,POINT (8283265.7437118385 3690322.7653263006)
crossmedic pharmacy,Pharmacies,POINT (8282505.887999633 3692035.3321668506)
punjab pharmacy,Pharmacies,POINT (8281248.534351123 3691137.6152239167)
servaid pharmacy,Pharmacies,POINT (8278446.611635908 3691984.921515675)
