name,POI,geometry
,Health Points,POINT (8266215.94589469 3688066.87848487)
,Health Points,POINT (8267008.99589469 3687381.45348487)
,Health Points,POINT (8267138.59589469 3690748.80348487)
,Health Points,POINT (8266879.99589469 3689212.87848487)
,Health Points,POINT (8265705.04589469 3689120.02848487)
,Health Points,POINT (8266170.87089469 3692607.07848487)
,Health Points,POINT (8266110.57089469 3692573.70348487)
,Health Points,POINT (8267125.47089469 3691473.15348487)
,Health Points,POINT (8266460.82089469 3694447.65348487)
,Health Points,POINT (8266480.84589469 3694359.30348487)
,Health Points,POINT (8266411.54589469 3694341.30348487)
,Health Points,POINT (8266513.02089469 3693980.92848487)
,Health Points,POINT (8265901.84589469 3693819.90348487)
,Health Points,POINT (8267103.04589469 3693748.87848487)
,Health Points,POINT (8266324.32089469 3693722.62848487)
,Health Points,POINT (8266207.32089469 3693665.62848487)
,Health Points,POINT (8265585.04589469 3693448.20348487)
,Health Points,POINT (8265570.72089469 3693434.25348487)
,Health Points,POINT (8265512.22089469 3693331.20348487)
,Health Points,POINT (8265666.87089469 3696490.72848487)
,Health Points,POINT (8265357.27089469 3696361.80348487)
,Health Points,POINT (8265688.02089469 3696306.00348487)
,Health Points,POINT (8266943.89589469 3696282.60348487)
,Health Points,POINT (8266424.67089469 3696053.62848487)
,Health Points,POINT (8266595.14589469 3695897.85348487)
,Health Points,POINT (8265650.74589469 3695445.45348487)
,Health Points,POINT (8265737.97089469 3695055.52848487)
,Health Points,POINT (8266741.17089469 3698445.37848487)
,Health Points,POINT (8266763.29589469 3698431.57848487)
,Health Points,POINT (8267024.52089469 3698425.35348487)
,Health Points,POINT (8267131.09589469 3698376.37848487)
,Health Points,POINT (8267106.04589469 3698327.10348487)
,Health Points,POINT (8267117.97089469 3698320.80348487)
,Health Points,POINT (8265793.17089469 3698277.45348487)
,Health Points,POINT (8265319.62089469 3698191.50348487)
,Health Points,POINT (8265736.69589469 3698153.92848487)
,Health Points,POINT (8266677.27089469 3698098.27848487)
,Health Points,POINT (8266780.24589469 3697963.12848487)
,Health Points,POINT (8265965.14589469 3697957.05348487)
,Health Points,POINT (8266997.07089469 3697873.50348487)
,Health Points,POINT (8266961.82089469 3697554.00348487)
,Health Points,POINT (8266702.69589469 3697511.62848487)
,Health Points,POINT (8266843.84589469 3697504.27848487)
,Health Points,POINT (8266808.07089469 3697480.87848487)
,Health Points,POINT (8266907.74589469 3697440.07848487)
,Health Points,POINT (8266735.24589469 3697310.40348487)
,Health Points,POINT (8266366.47089469 3697154.85348487)
,Health Points,POINT (8266873.77089469 3697033.35348487)
,Health Points,POINT (8267090.82089469 3696834.52848487)
,Health Points,POINT (8266077.12089469 3696768.22848487)
,Health Points,POINT (8267128.17089469 3696681.07848487)
,Health Points,POINT (8266873.39589469 3696675.30348487)
,Health Points,POINT (8266777.62089469 3696661.87848487)
,Health Points,POINT (8266737.57089469 3696658.05348487)
,Health Points,POINT (8265886.92089469 3696638.55348487)
,Health Points,POINT (8265680.89589469 3696576.82848487)
,Health Points,POINT (8266846.24589469 3699836.10348487)
,Health Points,POINT (8266328.52089469 3699667.42848487)
,Health Points,POINT (8267027.82089469 3699579.07848487)
,Health Points,POINT (8266688.59589469 3699493.95348487)
,Health Points,POINT (8266987.47089469 3699493.95348487)
,Health Points,POINT (8266883.59589469 3699478.12848487)
,Health Points,POINT (8266426.77089469 3699387.90348487)
,Health Points,POINT (8266421.67089469 3699297.15348487)
,Health Points,POINT (8267192.97089469 3701453.17848487)
,Health Points,POINT (8266630.09589469 3701042.85348487)
,Health Points,POINT (8266515.12089469 3700993.65348487)
,Health Points,POINT (8267170.24589469 3700984.42848487)
,Health Points,POINT (8266577.29589469 3700833.15348487)
,Health Points,POINT (8265886.92089469 3702815.62848487)
,Health Points,POINT (8266713.42089469 3702733.50348487)
,Health Points,POINT (8266922.37089469 3712840.50348487)
,Health Points,POINT (8267139.79589469 3712782.30348487)
,Health Points,POINT (8266786.84589469 3712529.10348487)
,Health Points,POINT (8265593.74589469 3712356.30348487)
,Health Points,POINT (8265800.29589469 3712102.12848487)
,Health Points,POINT (8266440.49589469 3711908.70348487)
,Health Points,POINT (8268344.52089469 3682495.35348487)
,Health Points,POINT (8267540.22089469 3684876.82848487)
,Health Points,POINT (8268905.29589469 3684649.65348487)
,Health Points,POINT (8268141.79589469 3684139.95348487)
,Health Points,POINT (8268925.32089469 3685625.10348487)
,Health Points,POINT (8268689.97089469 3685362.07848487)
,Health Points,POINT (8267257.99589469 3685244.10348487)
,Health Points,POINT (8267740.24589469 3688683.75348487)
,Health Points,POINT (8267212.92089469 3688341.82848487)
,Health Points,POINT (8267876.67089469 3688234.95348487)
,Health Points,POINT (8269071.87089469 3687810.67848487)
,Health Points,POINT (8268956.97089469 3687270.52848487)
,Health Points,POINT (8269068.57089469 3687212.02848487)
,Health Points,POINT (8268736.02089469 3690747.30348487)
,Health Points,POINT (8268561.64589469 3690577.12848487)
,Health Points,POINT (8268396.79589469 3690227.17848487)
,Health Points,POINT (8267798.14589469 3690164.40348487)
,Health Points,POINT (8268388.17089469 3690162.90348487)
,Health Points,POINT (8268833.97089469 3690042.30348487)
,Health Points,POINT (8267709.19589469 3689893.57848487)
,Health Points,POINT (8268013.77089469 3689844.97848487)
,Health Points,POINT (8268985.32089469 3689715.67848487)
,Health Points,POINT (8268789.12089469 3689704.05348487)
,Health Points,POINT (8268924.42089469 3689651.70348487)
,Health Points,POINT (8268875.44589469 3689618.62848487)
,Health Points,POINT (8267509.39589469 3689146.95348487)
,Health Points,POINT (8268414.72089469 3689073.15348487)
,Health Points,POINT (8267863.84589469 3692638.80348487)
,Health Points,POINT (8267524.99589469 3692619.97848487)
,Health Points,POINT (8268327.49589469 3692505.30348487)
,Health Points,POINT (8268413.59589469 3692477.25348487)
,Health Points,POINT (8268422.52089469 3692445.90348487)
,Health Points,POINT (8268034.62089469 3692161.95348487)
,Health Points,POINT (8268765.27089469 3692079.82848487)
,Health Points,POINT (8267533.32089469 3691616.10348487)
,Health Points,POINT (8267490.04589469 3691429.50348487)
,Health Points,POINT (8267830.99589469 3691144.12848487)
,Health Points,POINT (8268833.67089469 3691102.87848487)
,Health Points,POINT (8267840.89589469 3690957.75348487)
,Health Points,POINT (8267631.27089469 3690915.97848487)
,Health Points,POINT (8267756.07089469 3690803.92848487)
,Health Points,POINT (8267583.72089469 3694164.82848487)
,Health Points,POINT (8267331.72089469 3694061.55348487)
,Health Points,POINT (8268153.72089469 3694007.77848487)
,Health Points,POINT (8267666.52089469 3693987.22848487)
,Health Points,POINT (8268495.04589469 3693923.25348487)
,Health Points,POINT (8267652.19589469 3693782.92848487)
,Health Points,POINT (8268158.59589469 3693739.05348487)
,Health Points,POINT (8268906.49589469 3693452.70348487)
,Health Points,POINT (8267240.07089469 3693427.35348487)
,Health Points,POINT (8268129.87089469 3693404.02848487)
,Health Points,POINT (8268261.57089469 3693069.67848487)
,Health Points,POINT (8268300.64589469 3692930.55348487)
,Health Points,POINT (8268091.09589469 3692785.95348487)
,Health Points,POINT (8269052.74589469 3695969.77848487)
,Health Points,POINT (8268869.14589469 3695221.50348487)
,Health Points,POINT (8268852.79589469 3695203.05348487)
,Health Points,POINT (8268771.79589469 3695200.57848487)
,Health Points,POINT (8268769.17089469 3695154.07848487)
,Health Points,POINT (8267541.12089469 3694784.77848487)
,Health Points,POINT (8267755.69589469 3694768.27848487)
,Health Points,POINT (8267220.72089469 3694723.20348487)
,Health Points,POINT (8267524.99589469 3698255.10348487)
,Health Points,POINT (8267511.87089469 3698227.05348487)
,Health Points,POINT (8267486.74589469 3698183.55348487)
,Health Points,POINT (8268467.59589469 3697973.55348487)
,Health Points,POINT (8267885.59589469 3697668.15348487)
,Health Points,POINT (8268141.49589469 3697537.65348487)
,Health Points,POINT (8267651.22089469 3697534.65348487)
,Health Points,POINT (8268148.09589469 3697519.50348487)
,Health Points,POINT (8267237.14589469 3697471.35348487)
,Health Points,POINT (8267410.32089469 3697419.67848487)
,Health Points,POINT (8267336.22089469 3697388.85348487)
,Health Points,POINT (8267945.67089469 3697376.77848487)
,Health Points,POINT (8268183.87089469 3697256.92848487)
,Health Points,POINT (8268727.92089469 3697136.40348487)
,Health Points,POINT (8267544.94589469 3700241.85348487)
,Health Points,POINT (8267305.77089469 3700119.75348487)
,Health Points,POINT (8268779.59589469 3700095.90348487)
,Health Points,POINT (8268107.74589469 3700093.80348487)
,Health Points,POINT (8268210.49589469 3700076.40348487)
,Health Points,POINT (8267339.82089469 3700045.80348487)
