name,POI,geometry
,Food Points,POINT (8262097 3675019)
,Food Points,POINT (8263048 3674649)
,Food Points,POINT (8262306 3674633)
,Food Points,POINT (8263021 3674621)
,Food Points,POINT (8262191 3674619)
,Food Points,POINT (8262306 3674601)
,Food Points,POINT (8262995 3674561)
,Food Points,POINT (8262317 3674473)
,Food Points,POINT (8261834 3674005)
,Food Points,POINT (8262123 3673838)
,Food Points,POINT (8262184 3673810)
,Food Points,POINT (8261651 3679076)
,Food Points,POINT (8261629 3678909)
,Food Points,POINT (8261642 3678908)
,Food Points,POINT (8261552 3678894)
,Food Points,POINT (8261673 3678871)
,Food Points,POINT (8263202 3680472)
,Food Points,POINT (8261374 3680442)
,Food Points,POINT (8262210 3679653)
,Food Points,POINT (8262709 3682844)
,Food Points,POINT (8263067 3682694)
,Food Points,POINT (8263207 3682613)
,Food Points,POINT (8263223 3682557)
,Food Points,POINT (8263227 3682359)
,Food Points,POINT (8263223 3682251)
,Food Points,POINT (8261478 3684865)
,Food Points,POINT (8262301 3684563)
,Food Points,POINT (8263187 3683200)
,Food Points,POINT (8263120 3686676)
,Food Points,POINT (8262408 3686656)
,Food Points,POINT (8262321 3686645)
,Food Points,POINT (8262362 3686644)
,Food Points,POINT (8262414 3686632)
,Food Points,POINT (8262702 3686629)
,Food Points,POINT (8262531 3686625)
,Food Points,POINT (8262646 3686624)
,Food Points,POINT (8262295 3686617)
,Food Points,POINT (8262368 3686611)
,Food Points,POINT (8261609 3686607)
,Food Points,POINT (8262126 3686600)
,Food Points,POINT (8262326 3686584)
,Food Points,POINT (8262400 3686563)
,Food Points,POINT (8261358 3686541)
,Food Points,POINT (8262438 3686457)
,Food Points,POINT (8262075 3686457)
,Food Points,POINT (8262382 3686447)
,Food Points,POINT (8261495 3686382)
,Food Points,POINT (8261393 3686367)
,Food Points,POINT (8262408 3685932)
,Food Points,POINT (8262325 3685833)
,Food Points,POINT (8263220 3685681)
,Food Points,POINT (8262554 3685423)
,Food Points,POINT (8262987 3685391)
,Food Points,POINT (8262986 3685390)
,Food Points,POINT (8261524 3685306)
,Food Points,POINT (8263129 3685096)
,Food Points,POINT (8263007 3685070)
,Food Points,POINT (8261462 3685062)
,Food Points,POINT (8261766 3684951)
,Food Points,POINT (8262332 3688079)
,Food Points,POINT (8261427 3687894)
,Food Points,POINT (8263162 3687579)
,Food Points,POINT (8262573 3687171)
,Food Points,POINT (8262868 3687145)
,Food Points,POINT (8262337 3687137)
,Food Points,POINT (8262607 3690619)
,Food Points,POINT (8262768 3690187)
,Food Points,POINT (8262833 3690147)
,Food Points,POINT (8262837 3690124)
,Food Points,POINT (8261356 3689761)
,Food Points,POINT (8261564 3689483)
,Food Points,POINT (8261702 3689471)
,Food Points,POINT (8262376 3689386)
,Food Points,POINT (8261637 3689344)
,Food Points,POINT (8261627 3689307)
,Food Points,POINT (8261347 3689296)
,Food Points,POINT (8261333 3688944)
,Food Points,POINT (8261537 3688902)
,Food Points,POINT (8261577 3688875)
,Food Points,POINT (8262101 3692117)
,Food Points,POINT (8262195 3692069)
,Food Points,POINT (8262223 3692052)
,Food Points,POINT (8261779 3692049)
,Food Points,POINT (8262155 3692039)
,Food Points,POINT (8262254 3692035)
,Food Points,POINT (8261758 3692030)
,Food Points,POINT (8261809 3692029)
,Food Points,POINT (8262130 3692024)
,Food Points,POINT (8261808 3692016)
,Food Points,POINT (8263088 3691976)
,Food Points,POINT (8261489 3691916)
,Food Points,POINT (8262955 3691915)
,Food Points,POINT (8261476 3691905)
,Food Points,POINT (8261938 3691644)
,Food Points,POINT (8262647 3691634)
,Food Points,POINT (8261942 3691606)
,Food Points,POINT (8262408 3691456)
,Food Points,POINT (8261500 3691434)
,Food Points,POINT (8261630 3690982)
,Food Points,POINT (8261602 3690966)
,Food Points,POINT (8262509 3693948)
,Food Points,POINT (8261448 3693256)
,Food Points,POINT (8261496 3693253)
,Food Points,POINT (8261494 3693159)
,Food Points,POINT (8261379 3693049)
,Food Points,POINT (8261338 3692674)
,Food Points,POINT (8261353 3692669)
,Food Points,POINT (8262323 3692662)
,Food Points,POINT (8263258 3675030)
,Food Points,POINT (8264050 3676900)
,Food Points,POINT (8264039 3676872)
,Food Points,POINT (8264045 3676833)
,Food Points,POINT (8263942 3676710)
,Food Points,POINT (8263944 3676656)
,Food Points,POINT (8263934 3676637)
,Food Points,POINT (8263929 3676610)
,Food Points,POINT (8263967 3676606)
,Food Points,POINT (8263964 3676588)
,Food Points,POINT (8264574 3676481)
,Food Points,POINT (8263867 3676388)
,Food Points,POINT (8263860 3676376)
,Food Points,POINT (8264012 3676336)
,Food Points,POINT (8263779 3676298)
